name,opinion
aantonop,0.08457142857142859
APompliano,0.2006888888888889
balajis,0.6486
barrysilbert,0.046
charlieshrem,0.5768333333333332
Crypto_goat_,0.0
crypto_rand,0.008599999999999997
cryptomocho,0.19166666666666668
CryptoYoda1338,0.6597
cz_binance,0.6597
danheld,0.19145882352941176
erikvoorhees,0.4658
jimmysong,0.08872857142857146
justinsuntron,0.8605
lopp,0.17844615384615387
michael_saylor,0.6124
mskvsk,0.34
Nickszabo4,0.0
NicTrades,0.29081999999999997
notsofast,0.31672500000000003
Nouriel,-0.1779
novogratz,0.06955
peterlbrandt,-0.0675
PeterSchiff,0.08248571428571427
rogerkver,0.9246
scottmelker,0.1576375
Sicarious_,0.8395
Thecryptodog,-0.003960000000000008
ToneVays,0.017607692307692307
tyler,0.14236000000000001
VentureCoinist,0.43590000000000007
VinnyLingham,-0.3182
WhalePanda,0.32824
woonomic,0.21459999999999999
